gene_name	entrezID	qvalue
EFNA1	1942	0.00960624201690274
SLC50A1	55974	0.00960624201690274
DPM3	54344	0.00960624201690274
KRTCAP2	200185	0.00960624201690274
TRIM46	80128	0.00960624201690274
MUC1	4582	0.00960624201690274
THBS3	7059	0.00960624201690274
MTX1	4580	0.00960624201690274
GBA	2629	0.00960624201690274
FAM189B	10712	0.00960624201690274
SCAMP3	10067	0.00960624201690274
CLK2	1196	0.00960624201690274
HCN3	57657	0.00960624201690274
PKLR	5313	0.00960624201690274
FDPS	2224	0.00960624201690274
DNMT3A	1788	0.0179130840498567
GLI2	2736	0.00179094615859437
ZEB2	9839	0.00867099307411245
FOXP1	27086	0.00552521074732422
MRPS30	10884	0.024269339680451
CDKAL1	54901	0.00179094615859437
L3MBTL3	84456	0.0115207727685232
ESR1	2099	0.0137543919787471
GTF2I	2969	0.00602736595538035
NCF1	653361	0.00602736595538035
GTF2IRD2	84163	0.00602736595538035
SLC30A8	169026	0.00179094615859437
ZNF365	22891	0.00179094615859437
TCF7L2	6934	0.00179094615859437
HOXC6	3223	0.0116703931940885
HOXC5	3222	0.0116703931940885
TOX3	27324	0.00179094615859437
RAI1	10743	0.0243254379427145
SREBF1	6720	0.0243254379427145
TOM1L2	146691	0.0243254379427145
ATPAF2	91647	0.0243254379427145
GID4	79018	0.0243254379427145
DRG2	1819	0.0243254379427145
MYO15A	51168	0.0243254379427145
ZBTB7C	201501	0.0406105445577551
HAPLN4	404037	0.00179094615859437
TM6SF2	53345	0.00179094615859437
SUGP1	57794	0.00179094615859437
MAU2	23383	0.00179094615859437
GATAD2A	54815	0.00179094615859437
NDUFA13	51079	0.00179094615859437
PICK1	9463	0.0232576435532566
SLC16A8	23539	0.0232576435532566
BAIAP2L2	80115	0.0232576435532566
PLA2G6	8398	0.0232576435532566
MAFF	23764	0.0232576435532566
TMEM184B	25829	0.0232576435532566
