gene_name	entrezID	qvalue
PGD	5226	0.0115976804639072
APITD1	378708	0.0115976804639072
APITD1-CORT	100526739	0.0115976804639072
CORT	1325	0.0115976804639072
DFFA	1676	0.0115976804639072
PEX14	5195	0.0115976804639072
LINC01101	84931	0.00811837632473505
ACPL2	92370	0.0157857317425404
ZBTB38	253461	0.0157857317425404
ZCCHC10	54819	0.0389682063587282
HSPA4	3308	0.0389682063587282
L3MBTL3	84456	0.00579884023195361
HIBADH	11112	0.0437055446053646
TAX1BP1	8887	0.0437055446053646
JAZF1	221895	0.0437055446053646
SLC25A37	51312	0.0170913185783896
NKX3-1	4824	0.0170913185783896
NKX2-6	137814	0.0170913185783896
C9orf53	51198	0.0110705131700933
CDKN2A	1029	0.0110705131700933
CDKN2B	1030	0.0110705131700933
TCF7L2	6934	0.0126849630073985
ZW10	9183	0.00811837632473505
CLDN25	644672	0.00811837632473505
USP28	57646	0.00811837632473505
HTR3B	9177	0.00811837632473505
HTR3A	3359	0.00811837632473505
RAD51B	5890	0.00579884023195361
RAI1	10743	0.0231953609278144
SREBF1	6720	0.0231953609278144
TOM1L2	146691	0.0231953609278144
LRRC48	83450	0.0231953609278144
ATPAF2	91647	0.0231953609278144
GID4	79018	0.0231953609278144
DRG2	1819	0.0231953609278144
MYO15A	51168	0.0231953609278144
NCAN	1463	0.0304439112177565
HAPLN4	404037	0.0304439112177565
TM6SF2	53345	0.0304439112177565
SUGP1	57794	0.0304439112177565
MAU2	23383	0.0304439112177565
GATAD2A	54815	0.0304439112177565
TSSK6	83983	0.0304439112177565
NDUFA13	51079	0.0304439112177565
YJEFN3	374887	0.0304439112177565
CILP2	148113	0.0304439112177565
PBX4	80714	0.0304439112177565
LPAR2	9170	0.0304439112177565
GMIP	51291	0.0304439112177565
ATP13A1	57130	0.0304439112177565
ZNF101	94039	0.0304439112177565
TBX1	6899	0.0258311973968843
GNB1L	54584	0.0258311973968843
